epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8793,0.77322,2.26719,1.2994,0.00333,1,0.995,0.874,0.45455,2.79247,0.99479,0.00018,0.00018,0.00018
2,137.027,0.52491,1.12566,1.07259,0.99556,1,0.995,0.90893,0.47278,2.52911,1.03663,0.00035492,0.00035492,0.00035492
3,204.021,0.55225,1.02736,1.10865,1,0.98231,0.995,0.91455,0.45869,2.07002,1.04183,0.00050344,0.00050344,0.00050344
4,272.353,0.54124,0.96492,1.11586,0.97828,1,0.995,0.79595,0.62472,2.34811,1.20366,0.00062556,0.00062556,0.00062556
5,340.284,0.53424,0.90804,1.07293,1,0.9987,0.995,0.85662,0.49089,1.86776,1.04436,0.00072128,0.00072128,0.00072128
6,406.934,0.37724,1.18591,1.00674,1,0.99977,0.995,0.94472,0.34388,2.12738,0.88716,0.0007906,0.0007906,0.0007906
7,474.013,0.33273,1.11155,0.94763,0.99746,1,0.995,0.92824,0.38704,1.4814,0.93656,0.00083352,0.00083352,0.00083352
8,542.331,0.33688,1.01678,0.94804,0.99746,1,0.995,0.93331,0.391,1.37179,0.9738,0.00085004,0.00085004,0.00085004
9,610.161,0.3069,0.92005,0.92555,0.99791,1,0.995,0.93666,0.37186,1.20086,0.95898,0.00084016,0.00084016,0.00084016
10,680.652,0.29914,0.87571,0.93421,0.99805,1,0.995,0.94345,0.374,1.04057,0.9305,0.00080388,0.00080388,0.00080388
11,754.253,0.30675,0.81766,0.93081,0.99724,1,0.995,0.90632,0.39482,1.09857,0.91998,0.00068,0.00068,0.00068
12,824.947,0.26725,0.78397,0.91427,0.99761,1,0.995,0.95314,0.30116,0.92543,0.86169,0.000548,0.000548,0.000548
13,894.816,0.26109,0.73838,0.91506,0.99803,1,0.995,0.97764,0.23414,0.84481,0.78848,0.000416,0.000416,0.000416
14,968.073,0.22353,0.71057,0.8667,0.99809,1,0.995,0.96643,0.2472,0.81572,0.79368,0.000284,0.000284,0.000284
15,1044.99,0.20686,0.67231,0.88121,0.99819,1,0.995,0.98039,0.21337,0.76016,0.77058,0.000152,0.000152,0.000152
