epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.813,0.59423,3.72679,1.2264,0.00632,1,0.98769,0.72579,0.68814,3.07935,1.21416,0.00038,0.00038,0.00038
2,262.458,0.43305,2.29575,1.04326,0.96295,0.89617,0.986,0.68465,0.81993,2.76505,1.47549,0.00070278,0.00070278,0.00070278
3,389.761,0.43565,2.06038,1.05686,0.98836,1,0.995,0.86456,0.50893,1.85328,1.06068,0.00094636,0.00094636,0.00094636
4,517.213,0.40927,1.78137,1.00875,0.99854,1,0.995,0.89672,0.47932,1.26602,1.12165,0.00111074,0.00111074,0.00111074
5,644.272,0.40114,1.65732,0.96909,0.99544,1,0.995,0.83262,0.56752,1.34213,1.12499,0.00119592,0.00119592,0.00119592
6,771.211,0.38301,1.57153,0.98544,0.99817,1,0.995,0.9135,0.40413,0.9647,0.96151,0.00101,0.00101,0.00101
7,899.283,0.34762,1.32004,0.97993,0.9999,1,0.995,0.91133,0.43445,1.05924,0.96984,0.000812,0.000812,0.000812
8,1026.3,0.34865,1.18077,0.95057,0.99746,1,0.995,0.9564,0.35149,0.77009,0.87894,0.000614,0.000614,0.000614
9,1154.02,0.31114,1.12906,0.9396,0.99813,1,0.995,0.99083,0.27337,0.6683,0.81073,0.000416,0.000416,0.000416
10,1281.18,0.27925,1.03225,0.92345,0.99822,1,0.995,0.9888,0.28158,0.65169,0.83003,0.000218,0.000218,0.000218
